Neighborhood Reporting Area,Total Population,Total Households,Population in Households,Household Size,Population in Group Quarters,Family Households,Non-Family Households,Families with Children,Percent of All Households: Families with Children,0--4,5--9,10--14,15--17,18--19,20--24,25--34,35--44,45--54,55--59,60--64,65--74,75--84,85 Plus,Population,Total units,Occupied units,Vacant units,Percent owner occupied,Person per acre,Acres,Zip Code
WEST OAK HILL,"17,275","6,778","17,257",2.5,18,"4,551","2,227","2,304",34.00%,8.10%,7.60%,6.10%,3.70%,1.90%,5.20%,16.10%,17.00%,15.60%,6.90%,4.80%,4.50%,2.00%,0.60%,"17,275","7,100","6,778",322,70.30%,2,"8,559.20",78753
WEST UNIVERSITY,"16,408","6,104","12,492",2,"3,916",537,"5,567",97,1.60%,0.50%,0.30%,0.20%,0.20%,21.20%,66.10%,7.20%,1.80%,1.20%,0.50%,0.40%,0.30%,0.10%,0.10%,"16,408","6,471","6,104",367,8.10%,35,468.7,78705
WESTGATE,"3,914","1,675","3,765",2.2,149,835,840,376,22.40%,7.00%,6.50%,5.20%,3.60%,2.00%,7.20%,16.00%,13.50%,11.30%,5.00%,3.70%,6.00%,7.50%,5.50%,"3,914","1,790","1,675",115,38.20%,7.2,540.2,78745
WESTOVER HILLS,"7,626","4,012","7,616",1.9,10,"1,774","2,238",678,16.90%,4.10%,4.10%,4.20%,2.80%,1.20%,7.60%,17.10%,13.00%,13.60%,6.90%,6.00%,9.60%,7.00%,2.70%,"7,626","4,353","4,012",341,58.10%,6.2,"1,230.60",78759
WHISPER VALLEY,6,2,6,3,0,2,0,1,50.00%,0.00%,0.00%,16.70%,16.70%,0.00%,0.00%,0.00%,0.00%,16.70%,0.00%,50.00%,0.00%,0.00%,0.00%,6,2,2,0,100.00%,0,"1,923.20",78653
WINDSOR HILLS,"7,089","2,275","6,908",3,181,"1,488",787,766,33.70%,8.90%,8.50%,6.50%,3.90%,2.50%,8.00%,16.00%,13.80%,11.80%,4.30%,4.40%,5.20%,3.90%,2.20%,"7,089","2,449","2,275",174,51.60%,9,790.5,78753
WINDSOR PARK,"15,086","5,599","15,007",2.7,79,"3,167","2,432","1,607",28.70%,9.30%,7.30%,5.50%,3.20%,2.70%,9.10%,20.50%,14.70%,12.00%,4.40%,3.50%,3.70%,2.90%,1.10%,"15,086","6,528","5,599",929,40.10%,9.8,"1,532.30",78723
WINDSOR ROAD,"2,985","1,225","2,968",2.4,17,769,456,433,35.30%,8.80%,8.30%,5.90%,3.40%,1.30%,3.90%,12.50%,16.50%,15.10%,7.90%,7.00%,5.20%,2.70%,1.40%,"2,985","1,342","1,225",117,77.80%,5.5,545.6,78703
WOOTEN,"5,339","2,027","5,331",2.6,8,"1,197",830,602,29.70%,9.10%,7.90%,5.10%,2.70%,2.30%,8.10%,21.90%,15.90%,11.60%,4.30%,2.90%,3.60%,3.40%,1.20%,"5,339","2,257","2,027",230,43.60%,8.6,621,78757
ZILKER,"5,779","3,174","5,728",1.8,51,"1,155","2,019",511,16.10%,5.00%,3.70%,3.40%,1.70%,0.80%,5.90%,26.90%,19.80%,14.20%,7.00%,4.90%,3.80%,1.90%,1.10%,"5,779","3,652","3,174",478,47.60%,7.7,747,78704
